Program,Applicant ID,Category,Z score
Bridge,34862437,Category 1,-0.70
Bridge,34862437,Category 2,-0.53
Bridge,34862437,Category 3,0.72
Bridge,34862437,Category 4,-1.47
Bridge,34862437,Category 5,-0.40
Bridge,34862437,Category 6,-0.79
Bridge,34862437,Category 7,-1.94
Bridge,34862437,Category 8,0.95
Bridge,34862777,Category 1,-0.17
Bridge,34862777,Category 2,0.22
Bridge,34862777,Category 3,0.72
Bridge,34862777,Category 4,-0.55
Bridge,34862777,Category 5,0.23
Bridge,34862777,Category 6,-1.32
Bridge,34862777,Category 7,0.83
Bridge,34862777,Category 8,0.95
Bridge,34864571,Category 1,1.42
Bridge,34864571,Category 2,0.98
Bridge,34864571,Category 3,0.72
Bridge,34864571,Category 4,0.38
Bridge,34864571,Category 5,0.23
Bridge,34864571,Category 6,1.32
Bridge,34864571,Category 7,-0.28
Bridge,34864571,Category 8,0.37
Bridge,34877430,Category 1,0.89
Bridge,34877430,Category 2,0.98
Bridge,34877430,Category 3,0.72
Bridge,34877430,Category 4,-0.55
Bridge,34877430,Category 5,0.85
Bridge,34877430,Category 6,-0.26
Bridge,34877430,Category 7,-0.28
Bridge,34877430,Category 8,-0.21
Bridge,35104245,Category 1,-1.75
Bridge,35104245,Category 2,-1.67
Bridge,35104245,Category 3,-2.54
Bridge,35104245,Category 4,-1.01
Bridge,35104245,Category 5,-1.64
Bridge,35104245,Category 6,-1.32
Bridge,35104245,Category 7,-1.39
Bridge,35104245,Category 8,-2.54
Bridge,35150911,Category 1,-1.23
Bridge,35150911,Category 2,-2.05
Bridge,35150911,Category 3,-1.45
Bridge,35150911,Category 4,-1.01
Bridge,35150911,Category 5,-0.40
Bridge,35150911,Category 6,-1.32
Bridge,35150911,Category 7,-0.28
Bridge,35150911,Category 8,-1.37
Bridge,35153068,Category 1,0.36
Bridge,35153068,Category 2,0.98
Bridge,35153068,Category 3,0.17
Bridge,35153068,Category 4,0.84
Bridge,35153068,Category 5,0.85
Bridge,35153068,Category 6,1.32
Bridge,35153068,Category 7,0.28
Bridge,35153068,Category 8,0.37
Bridge,35167524,Category 1,0.89
Bridge,35167524,Category 2,0.22
Bridge,35167524,Category 3,0.17
Bridge,35167524,Category 4,-0.08
Bridge,35167524,Category 5,0.23
Bridge,35167524,Category 6,0.26
Bridge,35167524,Category 7,0.28
Bridge,35167524,Category 8,0.95
Bridge,35169461,Category 1,0.36
Bridge,35169461,Category 2,-0.53
Bridge,35169461,Category 3,-0.37
Bridge,35169461,Category 4,0.38
Bridge,35169461,Category 5,-1.02
Bridge,35169461,Category 6,-1.32
Bridge,35169461,Category 7,-0.28
Bridge,35169461,Category 8,-0.21
Bridge,35171136,Category 1,-0.17
Bridge,35171136,Category 2,0.98
Bridge,35171136,Category 3,0.17
Bridge,35171136,Category 4,1.30
Bridge,35171136,Category 5,0.23
Bridge,35171136,Category 6,0.26
Bridge,35171136,Category 7,0.83
Bridge,35171136,Category 8,-0.21
Bridge,35176373,Category 1,-1.23
Bridge,35176373,Category 2,-0.91
Bridge,35176373,Category 3,-0.91
Bridge,35176373,Category 4,-0.55
Bridge,35176373,Category 5,-1.02
Bridge,35176373,Category 6,-0.79
Bridge,35176373,Category 7,-1.39
Bridge,35176373,Category 8,-1.37
Bridge,35183040,Category 1,-0.17
Bridge,35183040,Category 2,-1.29
Bridge,35183040,Category 3,-0.91
Bridge,35183040,Category 4,-1.47
Bridge,35183040,Category 5,-2.26
Bridge,35183040,Category 6,-0.26
Bridge,35183040,Category 7,-1.94
Bridge,35183040,Category 8,-0.79
Bridge,35184181,Category 1,0.36
Bridge,35184181,Category 2,0.60
Bridge,35184181,Category 3,0.17
Bridge,35184181,Category 4,-0.55
Bridge,35184181,Category 5,0.85
Bridge,35184181,Category 6,0.26
Bridge,35184181,Category 7,0.28
Bridge,35184181,Category 8,-0.21
Bridge,35185133,Category 1,-0.17
Bridge,35185133,Category 2,-0.91
Bridge,35185133,Category 3,0.17
Bridge,35185133,Category 4,-0.08
Bridge,35185133,Category 5,0.23
Bridge,35185133,Category 6,0.26
Bridge,35185133,Category 7,0.83
Bridge,35185133,Category 8,-0.21
Bridge,35187756,Category 1,-1.75
Bridge,35187756,Category 2,-0.15
Bridge,35187756,Category 3,-1.45
Bridge,35187756,Category 4,-1.47
Bridge,35187756,Category 5,-1.64
Bridge,35187756,Category 6,-1.32
Bridge,35187756,Category 7,0.28
Bridge,35187756,Category 8,-0.79
Bridge,35188732,Category 1,0.89
Bridge,35188732,Category 2,0.60
Bridge,35188732,Category 3,-0.91
Bridge,35188732,Category 4,0.84
Bridge,35188732,Category 5,0.23
Bridge,35188732,Category 6,0.26
Bridge,35188732,Category 7,-0.28
Bridge,35188732,Category 8,-0.79
Bridge,35188744,Category 1,0.89
Bridge,35188744,Category 2,1.36
Bridge,35188744,Category 3,1.26
Bridge,35188744,Category 4,1.30
Bridge,35188744,Category 5,2.09
Bridge,35188744,Category 6,1.84
Bridge,35188744,Category 7,1.39
Bridge,35188744,Category 8,0.37
Bridge,35188873,Category 1,0.89
Bridge,35188873,Category 2,0.98
Bridge,35188873,Category 3,1.26
Bridge,35188873,Category 4,1.30
Bridge,35188873,Category 5,0.23
Bridge,35188873,Category 6,0.79
Bridge,35188873,Category 7,1.39
Bridge,35188873,Category 8,1.53
Bridge,35189192,Category 1,-1.23
Bridge,35189192,Category 2,-0.91
Bridge,35189192,Category 3,-0.37
Bridge,35189192,Category 4,0.84
Bridge,35189192,Category 5,0.23
Bridge,35189192,Category 6,-0.26
Bridge,35189192,Category 7,-0.28
Bridge,35189192,Category 8,0.95
Bridge,35189999,Category 1,1.95
Bridge,35189999,Category 2,0.98
Bridge,35189999,Category 3,1.26
Bridge,35189999,Category 4,1.76
Bridge,35189999,Category 5,1.47
Bridge,35189999,Category 6,1.84
Bridge,35189999,Category 7,1.94
Bridge,35189999,Category 8,0.95
Bridge,35190352,Category 1,0.36
Bridge,35190352,Category 2,0.98
Bridge,35190352,Category 3,1.26
Bridge,35190352,Category 4,0.84
Bridge,35190352,Category 5,0.23
Bridge,35190352,Category 6,0.79
Bridge,35190352,Category 7,-0.28
Bridge,35190352,Category 8,1.53
Bridge,35219564,Category 1,-0.70
Bridge,35219564,Category 2,-0.91
Bridge,35219564,Category 3,0.17
Bridge,35219564,Category 4,-1.01
Bridge,35219564,Category 5,0.23
Bridge,35219564,Category 6,-0.26
Bridge,35219564,Category 7,0.28
Bridge,35219564,Category 8,-0.21
Propel,34393185,Category 1,-0.29
Propel,34393185,Category 2,-1.05
Propel,34393185,Category 3,-0.86
Propel,34393185,Category 4,-1.15
Propel,34393185,Category 5,-0.93
Propel,34393185,Category 6,-1.49
Propel,34393185,Category 7,-1.15
Propel,34393185,Category 8,-0.76
Propel,34513696,Category 1,0.14
Propel,34513696,Category 2,-1.05
Propel,34513696,Category 3,-1.72
Propel,34513696,Category 4,0.05
Propel,34513696,Category 5,-1.28
Propel,34513696,Category 6,-0.58
Propel,34513696,Category 7,-1.15
Propel,34513696,Category 8,0.25
Propel,34820223,Category 1,0.14
Propel,34820223,Category 2,0.00
Propel,34820223,Category 3,0.87
Propel,34820223,Category 4,0.64
Propel,34820223,Category 5,-0.14
Propel,34820223,Category 6,0.80
Propel,34820223,Category 7,1.11
Propel,34820223,Category 8,0.74
Propel,34841738,Category 1,-0.73
Propel,34841738,Category 2,-1.05
Propel,34841738,Category 3,-1.72
Propel,34841738,Category 4,-0.55
Propel,34841738,Category 5,-0.14
Propel,34841738,Category 6,-0.58
Propel,34841738,Category 7,-0.58
Propel,34841738,Category 8,-0.26
Propel,34857989,Category 1,1.00
Propel,34857989,Category 2,1.05
Propel,34857989,Category 3,1.30
Propel,34857989,Category 4,1.24
Propel,34857989,Category 5,0.43
Propel,34857989,Category 6,1.71
Propel,34857989,Category 7,1.11
Propel,34857989,Category 8,0.25
Propel,34874553,Category 1,0.56
Propel,34874553,Category 2,1.05
Propel,34874553,Category 3,0.44
Propel,34874553,Category 4,0.05
Propel,34874553,Category 5,0.43
Propel,34874553,Category 6,1.26
Propel,34874553,Category 7,0.54
Propel,34874553,Category 8,1.75
Propel,34972676,Category 1,1.00
Propel,34972676,Category 2,1.05
Propel,34972676,Category 3,0.87
Propel,34972676,Category 4,0.05
Propel,34972676,Category 5,0.43
Propel,34972676,Category 6,0.80
Propel,34972676,Category 7,1.11
Propel,34972676,Category 8,0.74
Propel,35072638,Category 1,1.00
Propel,35072638,Category 2,0.53
Propel,35072638,Category 3,0.44
Propel,35072638,Category 4,1.24
Propel,35072638,Category 5,0.43
Propel,35072638,Category 6,-0.12
Propel,35072638,Category 7,1.11
Propel,35072638,Category 8,0.25
Propel,35128373,Category 1,0.14
Propel,35128373,Category 2,0.00
Propel,35128373,Category 3,0.87
Propel,35128373,Category 4,0.05
Propel,35128373,Category 5,0.43
Propel,35128373,Category 6,-0.12
Propel,35128373,Category 7,-0.02
Propel,35128373,Category 8,-0.26
Propel,35169072,Category 1,0.56
Propel,35169072,Category 2,0.00
Propel,35169072,Category 3,0.00
Propel,35169072,Category 4,0.05
Propel,35169072,Category 5,-0.71
Propel,35169072,Category 6,-0.58
Propel,35169072,Category 7,-0.02
Propel,35169072,Category 8,-1.25
Propel,35174528,Category 1,-0.51
Propel,35174528,Category 2,0.26
Propel,35174528,Category 3,-0.53
Propel,35174528,Category 4,-0.70
Propel,35174528,Category 5,-1.13
Propel,35174528,Category 6,-0.23
Propel,35174528,Category 7,-1.01
Propel,35174528,Category 8,-0.38
Propel,35182570,Category 1,1.42
Propel,35182570,Category 2,0.53
Propel,35182570,Category 3,1.30
Propel,35182570,Category 4,1.24
Propel,35182570,Category 5,1.00
Propel,35182570,Category 6,0.80
Propel,35182570,Category 7,1.11
Propel,35182570,Category 8,1.75
Propel,35182622,Category 1,-1.58
Propel,35182622,Category 2,-0.53
Propel,35182622,Category 3,0.00
Propel,35182622,Category 4,-1.74
Propel,35182622,Category 5,-1.84
Propel,35182622,Category 6,-0.58
Propel,35182622,Category 7,-1.15
Propel,35182622,Category 8,0.25
Propel,35184564,Category 1,1.00
Propel,35184564,Category 2,1.05
Propel,35184564,Category 3,0.44
Propel,35184564,Category 4,1.24
Propel,35184564,Category 5,0.43
Propel,35184564,Category 6,0.80
Propel,35184564,Category 7,-0.02
Propel,35184564,Category 8,1.75
Propel,35184588,Category 1,1.00
Propel,35184588,Category 2,2.63
Propel,35184588,Category 3,1.73
Propel,35184588,Category 4,1.84
Propel,35184588,Category 5,2.14
Propel,35184588,Category 6,2.17
Propel,35184588,Category 7,2.23
Propel,35184588,Category 8,1.24
Propel,35184643,Category 1,-2.87
Propel,35184643,Category 2,-1.58
Propel,35184643,Category 3,-1.72
Propel,35184643,Category 4,-2.34
Propel,35184643,Category 5,-2.41
Propel,35184643,Category 6,-1.49
Propel,35184643,Category 7,-1.71
Propel,35184643,Category 8,-1.25
Propel,35186851,Category 1,-0.29
Propel,35186851,Category 2,0.00
Propel,35186851,Category 3,0.00
Propel,35186851,Category 4,-0.55
Propel,35186851,Category 5,-1.28
Propel,35186851,Category 6,-1.04
Propel,35186851,Category 7,0.54
Propel,35186851,Category 8,-1.76
Propel,35188832,Category 1,-0.29
Propel,35188832,Category 2,0.00
Propel,35188832,Category 3,0.44
Propel,35188832,Category 4,0.64
Propel,35188832,Category 5,-0.14
Propel,35188832,Category 6,0.34
Propel,35188832,Category 7,-0.02
Propel,35188832,Category 8,-0.76
Propel,35188966,Category 1,0.78
Propel,35188966,Category 2,0.26
Propel,35188966,Category 3,0.44
Propel,35188966,Category 4,-0.25
Propel,35188966,Category 5,0.15
Propel,35188966,Category 6,0.80
Propel,35188966,Category 7,0.26
Propel,35188966,Category 8,-0.01
Propel,35189371,Category 1,-0.73
Propel,35189371,Category 2,-1.05
Propel,35189371,Category 3,-0.86
Propel,35189371,Category 4,-0.55
Propel,35189371,Category 5,-0.71
Propel,35189371,Category 6,-1.04
Propel,35189371,Category 7,-0.58
Propel,35189371,Category 8,-0.26
Propel,35189981,Category 1,-0.29
Propel,35189981,Category 2,-0.53
Propel,35189981,Category 3,-0.42
Propel,35189981,Category 4,0.05
Propel,35189981,Category 5,-1.28
Propel,35189981,Category 6,-1.04
Propel,35189981,Category 7,-1.15
Propel,35189981,Category 8,-0.76
Propel,35190430,Category 1,-1.15
Propel,35190430,Category 2,-1.58
Propel,35190430,Category 3,-1.29
Propel,35190430,Category 4,-0.55
Propel,35190430,Category 5,-0.71
Propel,35190430,Category 6,-0.58
Propel,35190430,Category 7,-0.58
Propel,35190430,Category 8,-1.25
Leap,34859062,Category 1,-0.71
Leap,34859062,Category 2,-0.71
Leap,34859062,Category 3,-1.07
Leap,34859062,Category 4,1.41
Leap,34859062,Category 5,1.22
Leap,34859062,Category 6,1.41
Leap,34859062,Category 7,0.71
Leap,34859062,Category 8,0.71
Leap,35068170,Category 1,-0.71
Leap,35068170,Category 2,-0.71
Leap,35068170,Category 3,-0.27
Leap,35068170,Category 4,-0.71
Leap,35068170,Category 5,0.00
Leap,35068170,Category 6,-0.71
Leap,35068170,Category 7,0.71
Leap,35068170,Category 8,0.71
Leap,35087533,Category 1,1.41
Leap,35087533,Category 2,1.41
Leap,35087533,Category 3,1.34
Leap,35087533,Category 4,-0.71
Leap,35087533,Category 5,-1.22
Leap,35087533,Category 6,-0.71
Leap,35087533,Category 7,-1.41
Leap,35087533,Category 8,-1.41
New directions,34861594,Category 1,-0.27
New directions,34861594,Category 2,1.34
New directions,34861594,Category 3,0.86
New directions,34861594,Category 4,0.71
New directions,34861594,Category 5,1.22
New directions,34861594,Category 6,0.00
New directions,34861594,Category 7,0.00
New directions,34861594,Category 8,-1.22
New directions,35179272,Category 1,1.34
New directions,35179272,Category 2,-0.27
New directions,35179272,Category 3,0.54
New directions,35179272,Category 4,0.71
New directions,35179272,Category 5,0.00
New directions,35179272,Category 6,0.00
New directions,35179272,Category 7,1.22
New directions,35179272,Category 8,1.22
New directions,35188492,Category 1,-1.07
New directions,35188492,Category 2,-1.07
New directions,35188492,Category 3,-1.40
New directions,35188492,Category 4,-1.41
New directions,35188492,Category 5,-1.22
New directions,35188492,Category 6,0.00
New directions,35188492,Category 7,-1.22
New directions,35188492,Category 8,0.00